SCS_CHI,DMS_X,DMS_Y,DMS_Z,DMS_Seq,DMS_Secs,DMS_Nsecs
30.020077796625465,0.019779039,-0.108774934,-0.071256046,94790,1627913380,726826596
30.020077796625465,0.019661495,-0.108753733,-0.071152675,94791,1627913380,732900677
30.042322089528597,0.019791465,-0.108734042,-0.071011794,94792,1627913380,738934280
30.042322089528597,0.019800542,-0.10871799600000001,-0.07103859300000001,94793,1627913380,744869450
30.042322089528597,0.019964124,-0.10863046500000001,-0.070998609,94794,1627913380,750800583
30.077761447966058,0.020147647,-0.108902306,-0.07094096100000001,94795,1627913380,756944171
30.077761447966058,0.020140189000000003,-0.10881720800000001,-0.070926258,94796,1627913380,762891789
30.077761447966058,0.019871022000000002,-0.10838855300000001,-0.07077338600000001,94797,1627913380,768949319
30.12432108306159,0.019804698000000003,-0.10830956800000001,-0.07089751100000001,94798,1627913380,774810468
30.12432108306159,0.019923948,-0.10833727600000001,-0.07096965100000001,94799,1627913380,780868796
30.12432108306159,0.019987089,-0.10838143800000001,-0.070961969,94800,1627913380,786876602
30.12432108306159,0.020010392000000002,-0.10848826700000001,-0.070930695,94801,1627913380,792888699
30.185098086118064,0.020262595,-0.108955324,-0.071024264,94802,1627913380,798917640
30.185098086118064,0.020108340000000002,-0.108820543,-0.07104452600000001,94803,1627913380,804884377
30.185098086118064,0.020039595,-0.10882282200000001,-0.071105337,94804,1627913380,810891053
30.257102732505736,0.020021833000000003,-0.10890998,-0.071623503,94805,1627913380,816873524
30.257102732505736,0.020110598,-0.108757583,-0.07154247600000001,94806,1627913380,822972796
30.257102732505736,0.020071059000000002,-0.10881209700000001,-0.07128889000000001,94807,1627913380,828795355
30.340210316342745,0.020126520000000002,-0.10879915400000001,-0.071225779,94808,1627913380,834980223
30.340210316342745,0.020082827,-0.10872264300000001,-0.071242468,94809,1627913380,840831451
30.340210316342745,0.020044525,-0.10875234800000001,-0.07134531100000001,94810,1627913380,846857183
30.340210316342745,0.020117069,-0.10890616500000001,-0.071292385,94811,1627913380,852962070
30.435501749743526,0.020168564,-0.108858669,-0.07146013400000001,94812,1627913380,858901796
30.435501749743526,0.020181447,-0.108821608,-0.07166755600000001,94813,1627913380,864949152
30.435501749743526,0.020358601,-0.108753839,-0.071876219,94814,1627913380,870872341
30.544128766496616,0.020458423,-0.10875422000000001,-0.07199586000000001,94815,1627913380,876895414
30.544128766496616,0.020377898000000002,-0.108976191,-0.07199119300000001,94816,1627913380,882832208
30.544128766496616,0.020345353,-0.10861927,-0.07229300200000001,94817,1627913380,889086549
30.666157212531672,0.020238174,-0.107963866,-0.07268247600000001,94818,1627913380,894836260
30.666157212531672,0.020382774000000003,-0.10794569600000001,-0.072468244,94819,1627913380,900934078
